year,EYEAR
1999,752.2436363662083
2000,734.5500041509332
2001,756.5805555599854
2002,676.3297212047422
2003,734.1263290252083
2004,761.5880179893915
2005,718.4962301444203
2006,744.6325230640839
2007,770.2998135953543
2008,757.0922013977013
2009,743.9658967498882
2010,721.0870521069528
2011,752.1429113242921
2012,764.7629767458129
2013,756.6587040593572
2014,750.5055448519602
2015,728.0576363744765
2016,753.8121918020737
2017,743.02080013157
2018,750.6559314288826
2019,737.7180715441572
2020,765.1505966334028
